Fuori,Id,Nome,Squadra,R,RM,Qt.I,Qt.A,Qt.I M,Qt.A M,FVM,FVM M,Trasferimento
0,5585,Malen,ROM,A,PC,34,36,34,36,414,414,
0,2764,Martinez L.,INT,A,PC,35,34,35,34,367,367,
0,254,Dimarco,INT,D,E;W,32,31,30,30,253,253,
0,6875,Paz N.,COM,C,T;A,30,29,28,27,247,247,
0,2194,Calhanoglu,INT,C,M;C,27,28,28,29,236,266,
0,4871,Thuram,INT,A,PC,29,28,29,28,263,263,
0,4777,McTominay,NAP,C,C;T,28,28,28,28,228,228,
0,6397,Ramos G.,MIL,A,PC,27,27,27,27,228,228,Paris Saint-Germain -> Milan (Definitivo)
0,6052,Hojlund,NAP,A,PC,28,27,28,27,257,257,
0,2167,Orsolini,BOL,C,W;A,26,25,25,24,192,192,
0,2097,Kean,FIO,A,PC,25,25,25,25,187,187,
0,5951,Kolo Muani,JUV,A,PC,26,25,26,25,211,211,Paris Saint-Germain -> Juventus (Definitivo)
0,2423,Pulisic,MIL,C,T;A,25,24,23,22,160,160,
0,2379,Rabiot,MIL,C,C;T,22,23,22,23,145,145,
0,6434,Yildiz,JUV,A,A,23,22,24,23,150,150,
0,7017,Douvikas,COM,A,PC,20,21,20,21,170,170,
0,6435,Krstovic,ATA,A,PC,18,19,17,18,100,100,
0,2137,Scamacca,ATA,A,PC,19,19,18,18,123,123,
0,7126,Baturina,COM,C,T,19,19,18,18,97,95,
0,5637,Davis K.,UDI,A,PC,19,19,19,19,109,109,
0,7556,Mora,ROM,C,T,19,19,18,18,95,95,Porto -> Roma (Definitivo)
0,5559,Da Cunha,COM,C,C;T,18,18,18,18,87,87,
0,4510,Leao,MIL,A,A,18,18,19,19,75,75,
0,5841,Svilar,ROM,P,POR,18,18,18,18,75,75,
0,531,Berardi,SAS,A,A,18,18,19,19,101,101,
0,2766,Zaniolo,UDI,C,T;A,18,18,17,17,85,85,
0,4998,Molina N.,ROM,D,E,18,18,18,18,80,80,Atletico Madrid -> Roma (Definitivo)
0,5995,De Ketelaere,ATA,A,A,17,17,18,18,98,98,
0,5116,Martinez Jo.,INT,P,POR,17,17,17,17,63,63,
0,1870,Barella,INT,C,C,17,17,17,17,80,80,
0,7071,Esposito F.P.,INT,A,PC,16,17,16,17,105,105,
0,4973,McKennie,JUV,C,C,17,17,17,17,70,70,
0,7181,Wesley,ROM,D,E,17,17,16,16,82,82,
0,4431,Carnesecchi,ATA,P,POR,16,16,16,16,52,52,
0,6966,Butez,COM,P,POR,16,16,16,16,54,54,
0,6908,Atta,FIO,C,C;T,17,16,17,16,86,86,Udinese -> Fiorentina (Definitivo)
0,4159,Akanji,INT,D,DC,16,16,16,16,51,51,
0,2788,Bremer,JUV,D,DC,15,16,15,16,60,60,
0,632,Zaccagni,LAZ,C,W;A,16,16,15,15,88,85,
0,2517,De Bruyne,NAP,C,T,15,16,14,16,107,105,
0,4964,Vicario,JUV,P,POR,16,16,16,16,58,58,Tottenham -> Juventus (Prestito con Diritto Riscatto)
0,6675,Dovbyk,BOL,A,PC,16,15,16,15,58,55,Roma -> Bologna (Prestito con Diritto Riscatto)
0,4312,Maignan,MIL,P,POR,15,15,15,15,50,50,
0,2296,Mancini,ROM,D,DC,15,15,15,15,49,49,
0,309,Dybala,ROM,A,A,14,15,15,16,95,95,
0,6060,Laurientè,SAS,A,A,15,15,16,16,86,86,
0,2061,Simeone,TOR,A,PC,15,15,15,15,80,77,
0,4371,Raspadori,ATA,A,A,13,14,14,15,76,76,
0,2120,Bastoni,INT,D,DC,14,14,14,14,43,43,
0,5022,Pavlovic,MIL,D,DC,14,14,14,14,48,48,
0,4409,Rrahmani,NAP,D,DC,14,14,14,14,51,51,
0,7351,Santos A.,NAP,A,W;A,14,14,15,15,62,62,
0,7023,Pellegrino M.,FIO,A,PC,15,14,15,14,50,47,Parma -> Fiorentina (Definitivo)
0,6572,Castro S.,ROM,A,PC,14,14,13,13,76,73,Bologna -> Roma (Definitivo)
0,4463,Esposito Se.,SAS,A,A,13,13,14,14,40,40,
0,5800,Gudmundsson A.,FIO,C,T;A,13,13,12,12,40,40,
0,4976,Kalulu,JUV,D,DD;DC,13,13,14,14,46,48,
0,7314,Taylor K.,LAZ,C,C;T,13,13,13,13,57,57,
1,4728,Nkunku,MIL,A,A,13,13,14,14,20,20,Milan -> Lipsia (Prestito con Diritto Riscatto)
0,4317,N'Dicka,ROM,D,DC,13,13,13,13,44,44,
0,2038,Pinamonti,LAZ,A,PC,13,13,12,12,51,48,Sassuolo -> Lazio (Definitivo)
0,5687,Vlasic,TOR,C,T,14,13,13,12,75,72,
0,6956,Solet,UDI,D,DC,13,13,13,13,46,46,
0,7547,Kevin Carlos,CAG,A,PC,13,13,12,12,37,34,Nizza -> Cagliari (Prestito con Diritto Riscatto)
0,5792,Ederson D.S.,ATA,C,M;C,12,12,13,13,49,54,
0,5119,Samardzic,ATA,C,C;T,12,12,12,12,41,41,
0,7129,Rodriguez Je.,COM,C,W;A,12,12,11,11,31,31,
0,2521,De Gea,FIO,P,POR,13,12,13,12,40,40,
0,6217,Bisseck,INT,D,DC,11,12,11,12,37,37,
0,2514,Stones,INT,D,DC,12,12,12,12,30,30,Manchester City -> Inter (Definitivo)
0,7436,Alajbegovic,JUV,C,W;T,12,12,12,12,50,52,Bayer Leverkusen -> Juventus (Definitivo)
0,6884,Conceicao,JUV,C,W;A,12,12,11,12,67,67,
0,5833,Gila,MIL,D,DC,12,12,12,12,31,31,Lazio -> Milan (Definitivo)
0,2606,Modric,MIL,C,M;C,12,12,13,13,46,51,
0,2816,Di Lorenzo,NAP,D,DD;E,12,12,12,12,40,40,
0,5734,Soulè,ROM,A,A,12,12,13,13,45,45,
0,7484,Adams A.,VEN,A,PC,12,12,11,11,45,42,Siviglia -> Venezia (Definitivo)
0,7078,Mastantuono,FIO,C,W;T,12,12,12,12,54,54,Real Madrid -> Fiorentina (Prestito)
0,5982,Spence,INT,D,E,12,12,11,11,40,37,Tottenham -> Inter (Definitivo)
0,6372,Moreira,MIL,C,W,12,12,12,12,50,47,Racing Strasburgo -> Milan (Definitivo)
0,5172,Jones C.,INT,C,C,12,12,12,12,48,48,Liverpool -> Inter (Definitivo)
